Kingdom,Subkingdoms,Phyla,Subphyla,Classes,Subclasses,Orders,Families,Genera
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chytridiales,Incertae_sedis,Cultoraquaticus
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chytridiales,Incertae_sedis,Grilletia
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chytridiales,Incertae_sedis,Guizhounema
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chytridiales,Incertae_sedis,Krispiromyces
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chytridiales,Incertae_sedis,Lyonomyces
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chytridiales,Incertae_sedis,Milleromyces
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chytridiales,Incertae_sedis,Oochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chytridiales,Incertae_sedis,Trewinomyces
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Brijax
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Globicultrix
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Nimbosphaera
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Palaeozoosporites
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Perexiflasca
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Rhizophydites
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Asterophlyctaceae,Asterophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Asterophlyctaceae,Wheelerophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytridiaceae,Chytridium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytridiaceae,Dendrochytridium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytridiaceae,Dinochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytridiaceae,Irineochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytridiaceae,Phlyctochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytridiaceae,Polyphlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytridiaceae,Zopfochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Avachytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Chytriomyces
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Entophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Fayochytriomyces
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Obelidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Odontochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Pendulichytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Phlyctorhiza
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Physocladia
